Player,XPA,XPM,FGA,FGM,50+
Stephen Gostkowski,52,52,36,33,4
Graham Gano,59,56,36,30,2
Blair Walsh,37,33,39,34,6
Robbie Gould,29,28,39,33,7
Josh Brown,45,44,32,30,3
Steven Hauschka,44,40,31,29,6
Cairo Santos,41,39,37,30,4
Chandler Catanzaro,58,53,31,28,0
Justin Tucker,29,29,40,33,4
Brandon McManus,36,35,35,30,5
Dan Bailey,25,25,32,30,5
Mike Nugent,49,48,28,23,2
Dustin Hopkins,40,39,28,25,2
Chris Boswell,27,26,32,29,2
Jason Myers,39,32,30,26,3
Mason Crosby,36,36,28,24,4
Adam Vinatieri,35,32,27,25,4
Josh Lambo,32,28,32,26,4
Matt Prater,39,36,24,22,5
Sebastian Janikowski,39,38,26,21,4
Dan Carpenter,40,34,27,23,3
Travis Coons,24,22,32,28,0
Connor Barth,26,25,28,23,3
Phil Dawson,21,20,27,24,3
Caleb Sturgis,37,35,22,18,2
Greg Zuerlein,28,26,30,20,3
Nick Novak,31,29,21,18,2
Randy Bullock,25,22,23,19,0
Andrew Franks,36,33,16,13,1
Ryan Succop,31,29,16,14,1
Kai Forbath,35,34,15,10,2
Matt Bryant,26,26,18,14,0
Nick Folk,19,19,16,13,2
Shayne Graham,8,8,13,11,3
Zach Hocker,13,12,14,10,1
Kyle Brindza,8,6,12,6,2
Josh Scobee,7,6,10,6,0
Cody Parkey,7,7,4,3,0
Ryan Quigley,4,4,0,0,0
Pat McAfee,0,0,0,0,0
Colton Schmidt,0,0,0,0,0
Brad Nortman,0,0,0,0,0
Tim Masthay,0,0,0,0,0
Jeff Locke,0,0,0,0,0
Sam Koch,0,0,0,0,0
Johnny Hekker,0,0,0,0,0
